,City Id,City,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date,Lat,Lng
0,1,hobyo,27.63,74,5.38,4,SO,1585974124,5.35,48.53
1,2,mahebourg,26.11,94,3.48,40,MU,1585974124,-20.41,57.7
2,3,dubbo,19.0,55,8.2,40,AU,1585974124,-32.25,148.62
3,4,dikson,-14.89,92,8.47,81,RU,1585974124,73.51,80.55
4,5,punta arenas,4.0,68,4.1,75,CL,1585974124,-53.15,-70.92
5,6,port elizabeth,18.0,82,1.5,0,ZA,1585974125,-33.92,25.57
6,7,dodge city,-2.0,63,3.6,1,US,1585974111,37.75,-100.02
7,8,half moon bay,11.67,81,5.1,90,US,1585973885,37.46,-122.43
8,9,olinda,28.0,83,1.0,40,BR,1585974125,-8.01,-34.86
9,10,ilulissat,-14.0,55,10.3,0,GL,1585974125,69.22,-51.1
10,11,lompoc,13.89,81,5.1,0,US,1585974126,34.64,-120.46
11,12,kaitangata,15.0,72,0.89,100,NZ,1585974126,-46.28,169.85
12,13,uni,0.92,85,5.37,45,RU,1585974126,57.75,51.49
13,14,nikolskoye,-0.56,80,5.0,20,RU,1585974126,59.7,30.79
14,15,mataura,19.44,70,1.79,100,NZ,1585974127,-46.19,168.86
15,16,lydenburg,17.22,100,0.89,98,ZA,1585974127,-25.1,30.46
16,17,albany,9.0,76,2.1,90,US,1585973989,42.6,-73.97
17,18,tuatapere,19.44,70,1.79,100,NZ,1585974127,-46.13,167.68
18,19,busselton,21.67,30,3.1,92,AU,1585974127,-33.65,115.33
19,20,jamestown,6.67,80,1.23,90,US,1585974128,42.1,-79.24
20,21,constitucion,16.62,57,4.85,46,CL,1585974128,-35.33,-72.42
21,22,maltahohe,19.75,30,1.9,0,NA,1585974128,-24.83,16.98
22,23,hobart,14.44,54,7.7,75,AU,1585973961,-42.88,147.33
23,24,hilo,26.0,65,3.6,1,US,1585973987,19.73,-155.09
24,25,zeya,-2.43,84,1.75,0,RU,1585974129,53.75,127.27
25,26,arraial do cabo,24.7,71,11.65,88,BR,1585974129,-22.97,-42.03
26,27,rikitea,25.06,78,6.79,2,PF,1585974129,-23.12,-134.97
27,28,gimli,-12.78,80,3.52,55,CA,1585974067,50.63,-96.99
28,29,pasni,25.67,54,2.84,0,PK,1585974129,25.26,63.47
29,30,clyde river,-15.0,77,13.9,1,CA,1585974130,70.47,-68.59
30,31,isabela,31.85,59,2.3,9,PH,1585974130,6.71,121.97
31,32,inongo,22.08,89,0.71,92,CD,1585974130,-1.95,18.27
32,33,hay river,-18.0,70,3.1,40,CA,1585974130,60.82,-115.8
33,34,areia branca,26.85,81,5.13,100,BR,1585974131,-4.96,-37.14
34,36,puerto ayora,26.11,90,2.24,30,EC,1585974131,-0.74,-90.35
35,37,bykovo,3.0,74,2.0,1,RU,1585974131,55.64,38.08
36,38,ushuaia,4.0,86,8.7,40,AR,1585974099,-54.8,-68.3
37,39,abu dhabi,28.0,32,3.1,0,AE,1585973872,24.47,54.37
38,40,saint-philippe,25.0,88,5.1,3,RE,1585974132,-21.36,55.77
39,41,kahului,26.0,61,2.6,20,US,1585974082,20.89,-156.47
40,43,bengkulu,30.2,64,0.75,82,ID,1585974132,-3.8,102.27
41,44,tromso,-7.0,79,4.1,40,NO,1585974132,69.65,18.96
42,45,acarau,25.26,89,1.8,99,BR,1585974133,-2.89,-40.12
43,46,butaritari,28.85,73,4.51,86,KI,1585974133,3.07,172.79
44,47,chlorakas,14.0,71,2.1,20,CY,1585974133,34.8,32.41
45,48,avarua,29.0,83,6.2,90,CK,1585974133,-21.21,-159.78
46,49,tasiilaq,-7.0,44,13.9,100,GL,1585974134,65.61,-37.64
47,50,vaini,26.0,83,4.6,75,TO,1585974135,-21.2,-175.2
